book_rating,book_title,kindle_price
4.8 out of 5 stars,A Billion Years: My Escape From a Life in the Highest Ranks of Scientology,$14.99
4.8 out of 5 stars,Ruby Fever: A Hidden Legacy Novel,$7.99
4.7 out of 5 stars,Hell Hath No Fury: A Romance Anthology for Reproductive Rights,$7.99
4.4 out of 5 stars,"The Twelve Topsy-Turvy, Very Messy Days of Christmas: The New Holiday Classic People Will Be Reading for Generations",$12.99
4.4 out of 5 stars,Signal Fires: A novel,$14.99
4.9 out of 5 stars,Harry Potter and the Goblet of Fire,$0.00
4.3 out of 5 stars,The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist,$3.99
4.3 out of 5 stars,The Family Remains: A Novel,$10.99
4.8 out of 5 stars,Empire of Storms (Throne Of Glass Series Book 5),$7.10
4.7 out of 5 stars,Severed Ties (Backyard Starship Book 10),$0.00
4.8 out of 5 stars,The Hobbit: Or There and Back Again (Lord of the Rings),$11.99
4.7 out of 5 stars,The Devil's Hand: A Thriller (Terminal List Book 4),$9.99
4.5 out of 5 stars,Twenty Years Later: A Riveting New Thriller,$0.00
4.8 out of 5 stars,The Akseli (Aldebarian Alliance Book 4),$3.99
4.8 out of 5 stars,Savage Son: A Thriller (Terminal List Book 3),$13.99
4.6 out of 5 stars,Fox Creek: A Novel (Cork O'Connor Mystery Series Book 19),$12.99
4.8 out of 5 stars,State of the Union (First Family Series Book 3),$6.99
4.4 out of 5 stars,Birthday Girl,$0.00
4.7 out of 5 stars,Heir of Fire (Throne of Glass Book 3),$7.10
4.9 out of 5 stars,"Words of Radiance (The Stormlight Archive, Book 2)",$9.99
4.3 out of 5 stars,Twisted Games: A Forbidden Royal Bodyguard Romance,$0.00
4.8 out of 5 stars,Heretic Mage (Paranoid Mage Book 3),$4.99
4.7 out of 5 stars,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)",$25.58
4.5 out of 5 stars,Hidden Pictures: A Novel,$3.99
4.4 out of 5 stars,Like a Rolling Stone: A Memoir,$16.99
4.2 out of 5 stars,The Paper Palace: A Novel,$8.99
4.8 out of 5 stars,Facets of Revolution (The Firebird Chronicles Book 4),$4.99
4.5 out of 5 stars,The Shadow Murders: A Department Q Novel,$14.99
4.7 out of 5 stars,Solito: A Memoir,$13.99
4.1 out of 5 stars,Better Off Dead: A Jack Reacher Novel,$9.99
4.4 out of 5 stars,Blind Side: A Fake Dating Sports Romance (Red Zone Rivals),$0.00
4.7 out of 5 stars,The Terminal List: A Thriller,$9.99
4.8 out of 5 stars,Queen of Shadows (Throne of Glass Book 4),$6.71
4.7 out of 5 stars,Profiles in Ignorance: How America's Politicians Got Dumb and Dumber,$14.99
4.4 out of 5 stars,Credence,$0.00
4.6 out of 5 stars,Throne of Glass,$6.26
4.7 out of 5 stars,Wear Something Red Anthology,$0.00
4.7 out of 5 stars,The Girl in the Mist (Emma Griffin® FBI Mystery Retro - Limited Series Book 1),$0.00
4.4 out of 5 stars,Dead Man's Hand (The Unorthodox Chronicles Book 1),$14.99
4.6 out of 5 stars,Love and Other Words,$10.99
4.5 out of 5 stars,Revenge: How Donald Trump Weaponized the US Department of Justice Against His Critics,$14.99
4.7 out of 5 stars,After the Bite: An Argeneau Novel,$6.99
4.6 out of 5 stars,Grace Under Fire,$14.99
4.4 out of 5 stars,Crave,$0.00
4.8 out of 5 stars,Hold the Line: The Insurrection and One Cop's Battle for America's Soul,$14.99
4.4 out of 5 stars,Local Woman Missing: A Novel of Domestic Suspense,$14.99
4.4 out of 5 stars,Crying in H Mart: A Memoir,$13.99
4.6 out of 5 stars,Voice of Fear: A Novel (Krewe of Hunters Book 38),$7.99
4.3 out of 5 stars,The Break: A Novel,$4.99
4.5 out of 5 stars,In the Pines (Columbia River Book 3),$0.00
4.3 out of 5 stars,The Lost Girls of Willowbrook: A Heartbreaking Novel of Survival Based on True History,$8.21
4.4 out of 5 stars,A Little Too Late (Madigan Mountain),$4.99
4.7 out of 5 stars,The Viper (Black Dagger Brotherhood: Prison Camp Book 3),$12.99
4.7 out of 5 stars,Chip War: The Fight for the World's Most Critical Technology,$14.99
4.3 out of 5 stars,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",$0.00
4.8 out of 5 stars,Dreadgod (Cradle Book 11),$0.00
4.3 out of 5 stars,The Mosquito Bowl: A Game of Life and Death in World War II,$16.99
4.4 out of 5 stars,The Dictionary of Lost Words: A Novel,$11.99
4.6 out of 5 stars,Archer's Voice (Where Love Meets Destiny Book 1),$9.99
4.6 out of 5 stars,Blitz: A Novel (The Rook Files Book 3),$14.99
4.5 out of 5 stars,Praise (Salacious Players' Club),$0.00
4.4 out of 5 stars,The Whistler: A Novel,$8.99
4.7 out of 5 stars,Always Her Love: Levi Steele (The Steeles at Silver Island Book 4),$5.99
4.9 out of 5 stars,Harry Potter and the Deathly Hallows,$0.00
4.5 out of 5 stars,Glow (The Plated Prisoner Series Book 4),$0.00
4.5 out of 5 stars,Armored (Joshua Duffy Book 1),$14.99
4.5 out of 5 stars,Secret Baby Next Door (Doctors of Denver),$0.00
4.5 out of 5 stars,One Moment Please: A Surprise Pregnancy Standalone (Wait With Me Book 3),$0.00
4.4 out of 5 stars,Distant Shores: A Novel,$8.99
4.7 out of 5 stars,Lord of Chaos: Book Six of 'The Wheel of Time',$9.99
4.3 out of 5 stars,The Girl Who Survived: A Riveting Novel of Suspense with a Shocking Twist,$9.52
4.9 out of 5 stars,"Medical Medium Brain Saver: Answers to Brain Inflammation, Mental Health, OCD, Brain Fog, Neurological Symptoms, Addiction, Anxiety, Depression, Heavy Metals, Epstein-Barr Virus",$24.99
4.7 out of 5 stars,"The Becoming: The Dragon Heart Legacy, Book 2",$11.99
4.5 out of 5 stars,The Very Secret Society of Irregular Witches,$11.99
4.4 out of 5 stars,A Not So Meet Cute,$0.00
4.5 out of 5 stars,The Handmaid's Tale,$17.99
4.6 out of 5 stars,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),$12.99
4.3 out of 5 stars,The Lost Apothecary: A Novel,$14.99
4.7 out of 5 stars,The Shadow Rising: Book Four of 'The Wheel of Time',$9.99
4.3 out of 5 stars,"Madly, Deeply: The Diaries of Alan Rickman",$16.99
4.6 out of 5 stars,The Hunted (The Dawning of Muirwood Book 2),$0.00
4.5 out of 5 stars,Terrible Beauty (Molotov Betrothal Book 1),$6.99
4.5 out of 5 stars,Other Birds: A Novel,$14.99
4.0 out of 5 stars,French Braid: A novel,$13.99
4.9 out of 5 stars,Harry Potter and the Prisoner of Azkaban,$0.00
4.7 out of 5 stars,American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,$16.99
4.6 out of 5 stars,The Book Woman's Daughter: A Novel,$7.39
4.3 out of 5 stars,The Three-Body Problem (The Three-Body Problem Series Book 1),$0.00
4.6 out of 5 stars,All the Light We Cannot See: A Novel,$13.99
4.9 out of 5 stars,Good Inside: A Guide to Becoming the Parent You Want to Be,$14.99
4.6 out of 5 stars,God of Malice: A Dark College Romance (Legacy of Gods Book 1),$0.00
4.4 out of 5 stars,The Bodyguard: A Novel,$14.99
4.4 out of 5 stars,Hester: A Novel,$14.99
4.5 out of 5 stars,Tease,$0.00
4.7 out of 5 stars,Fury: A LitRPG Adventure (Unbound Book 4),$0.00
4.7 out of 5 stars,Breaking History: A White House Memoir,$17.99
4.5 out of 5 stars,Double Jeopardy (Mike Daley/Rosie Fernandez Legal Thriller Book 14),$0.00
